question,llmScore
"What is a good-til-canceled (GTC) order in stock trading?
",4
"Do many brokers charge fees for Good 'til Cancelled (GTC) orders?
",3
"How is the average cost per share calculated in a Dollar Cost Averaging (DCA) strategy?
",4
"What is a brokerage order technique that can help investors minimize losses?
",3
"How can investors buy stocks in small quantities through organizations?
",3
"How can I interpret insider selling patterns to predict potential negative developments at a company?
",2
"What is the preference for a trailing stop setting according to William O'Neill?
",3
"What is the purpose of using a street name for holding stocks in a brokerage account?
",5
"What is a good ETF option for investors looking for exposure to Africa's growth prospects?
",2
"Which country was once considered a communist country but is now seen as more investor-friendly?
",5
"How can someone invest in international stocks conveniently?
",4
"What is a safe price-to-earnings (P/E) ratio range for stable, dividend-paying stocks?
",3
"What is a key fundamental that investors should focus on when searching for stocks?
",3
"What type of ETFs primarily invest in the bonds of a specific country or region?
",5
"What can insider buying indicate about a company's stock?
",3
"What is the difference between developed and emerging Europe in terms of investment?
",5
"What is a country-specific ETF that offers the most singular exposure to South Korea?
",2
"How is the popularity of an ETF measured in the ETF Database screener?
",5
"What can be the significance of insider selling?
",3
"What was the purpose of the uptick rule in the stock market?
",3
"What is the purpose of Direct Purchase Programs (DPPs) offered by companies?
",3
"How does a stop-loss order protect an investor's stock investment in a volatile market?
",5
"How does a limit order work when buying a stock?
",3
"Can I use the stock from my DRP to pay off debt?
",4
"How can novice ETF investors ensure greater liquidity when selecting an ETF?
",4
"What is a requirement to start participating in a Dividend Reinvestment Plan (DRP)?
",5
"How many shares did the CEO buy in the example given in the context?
",5
"How can the actions of company insiders provide clues into the near-term prospects for their company?
",3
"What is the purpose of Form 3 in SEC filings?
",3
"What happens when two orders are entered simultaneously with the condition that if one order is executed, the second order is automatically canceled?
",3
"What is the difference between investing and speculating in terms of the types of markets they are associated with?
",4
"How does a trailing stop-loss order work in the stock market?
",4
"What is a short squeeze in stock market?
",4
"What is a global ETF and what are some widely traded examples?
",4
"How much money do brokers typically require in an account before approving an investor for margin?
",4
"What is a trailing stop in stock investing?

",4
"Which major mutual fund companies have a global mutual fund?
",2
"What are the different types of ETFs based on structure?
",3
"What is the benefit of OCPs in DRPs?
",2
"What is beta in stock market terminology?
",4
"Which countries in Eastern Europe are considered developed and emerging as of 2020?
",2
"What are some advantages of using margin loans from brokerage accounts?
",3
"How much profit do you make if you buy back 100 shares at $40 each in a short sale?
",2
"How can using margin lead to increased losses in the stock market?
",5
"How can long-term stock investors buy stocks without using a broker?
",3
"What happens to a day order if the stock price does not reach the specified price by the end of the trading day?
",2
"How does a company's earnings per share (EPS) change due to a stock buyback?
",4
"How does a stop-loss order work in the stock market?
",3
"What is a good ETF for investing in the entire continent of Europe?
",1
"What is the effect of stock volatility on a limit order?
",2
"What type of criteria can be entered in the ETF screener of Yahoo! Finance?
",4
"How does choosing a market cap in a stock screener help in refining a stock search?

",5
"Why might company insiders sell their stock to diversify their holdings?
",3
"How does dollar cost averaging help investors?
",4
"Which type of ETF is generally considered a safer investing vehicle?
",2
"How does using margin in stock trading affect the return on investment?
",3
"What is the significance of a stock's RSI (Relative Strength Index) being under 30 in technical analysis?
",5
"How does buying on margin using leverage maximize gains in a favorable market?
",4
"How to approach stock selection and what to avoid?
",3
"What is the Federal Reserve Board's regulation regarding margin requirements for brokers?
",4
"What is the minimum debt to equity ratio required when purchasing stock on margin?
",2
"What is a good maximum value for the price-to-sales (PSR) ratio in a stock screener?
",2
"How can an investor measure the volatility of a stock's price?
",3
"What is required for an investor to be able to short a stock?
",2
"How much did FNMA's stock price drop between 2007 and 2008?
",3
"How do insiders report their stock trading activities?
",3
"How can a company increase its earnings per share without earning extra money?
",5
"How can a company protect itself from an unwanted takeover?
",3
"How does dollar cost averaging (DCA) help small investors purchase stocks at a lower average price per share?
",3
"How does a higher P/E ratio in an ETF affect its risk level?
",3
"What is one way to find stocks to go short on using the Yahoo! Finance screener?
",3
"What is the URL for Franklin Templeton's emerging markets blog?
",4
"What are ADRs and how can they be used for international investing?
",5
"Who was one of the first global investors to buy stocks of Japanese companies after World War II?
",1
"Does Yumpin Yimminy Corp. have a Dividend Reinvestment Plan (DRP) or Direct Purchase Plan (DPP)?
",4
"How is the profit margin calculated in the Yahoo! Finance tool?
",3
"What is a good maximum RSI value to use when doing a search with the RSI as one of the criteria?
",3
"How is the processing of a dividend reinvestment plan (DRP) typically handled?
",1
"How does a bank that issues an ADR handle currency conversion for American investors?
",3
"What is a conditional order in the context of stock trading?
",5
"How much money is needed to start investing in some DRPs?
",3
"What is a market order when buying stocks?
",5
"Why might someone use a day order to test a price?
",3
"What major law was passed in 2002 to protect investors from fraudulent accounting activities by corporations?
",5
"How does the number of shares in a DRP account increase over time with dividend reinvestment?
",3
"How does a broker obtain the shares to be shorted in a short sale?
",3
"What is dollar cost averaging (DCA) and how does it perform in different market conditions?
",3
"What can the stock buyback announcement by a company indicate?
",3
"What is the difference between developed markets and emerging markets in international investing?
",5
"How has technology made it easier to participate in DRPs?
",4
"What is the most convenient way for investors in the US to purchase international stocks?
",2
"How can you save stock screeners for future use in Yahoo! Finance?
",1
"What is the purpose of the short-swing profit rule enacted by the SEC?
",5
"What can be a possible indication of a company's negative prospects?
",4
"How can investors make profit when stock prices fall?
",4
"What is the uptick rule in the context of short selling?
",4
"What are some subcategories touched on for finding stocks with specific filters?
",4
"What is an example of an advanced order in stock trading?
",3
"How often do DRPs make stock purchases?
",3
"What is Motif Investing?
",3
"How can people stay informed about potential insider trading by government officials in the digital age?
",2
"What are consumer staples ETFs and why should they be included in a portfolio?
",4
"How are long-term capital gains taxed compared to short-term gains in the 28 percent tax bracket?
",3
"What happens when a currency is overproduced by a nation's central bank?
",4
"Who is the senior acquisitions editor for this publication?
",2
"What is the risk of trillion-dollar pension shortfalls in the stock market?
",5
"What are the dates when dividends are typically declared and paid?
",3
"How can investors identify good stocks during a bear market?
",4
"What is the most important financial element of a successful company?
",3
"Who is responsible for regulating the financial industry in the United States?
",4
"What is the website for The Bull & Bear, a fee-based subscription service for stock market news?
",3
"What is one website where I can find information about earnings estimates?
",3
"What is the title of a book that provides detailed financial reports on all major companies listed on the New York Stock Exchange and Nasdaq?
",4
"What is the estimated shortfall in pension funds?
",3
"Where can I find information about insider trading from the Securities and Exchange Commission?
",5
"What are the two main areas of focus for evaluating the financial health of a company through financial ratios?
",3
"What is equity defined as in the context?
",3
"What types of fees related to investments are tax deductible?
",3
"What is the purpose of using a put option in stock market?
",4
"How does the dividend yield change if a stock's price decreases while the dividend remains constant?
",4
"What are some risks associated with motif investing?
",3
"What is the price-to-sales ratio (PSR) and how is it calculated?
",5
"What is the IRS rule that prevents investors from selling losing stock and immediately buying it back to claim a short-term loss?
",3
"What is the tax rate for qualified dividends?
",3
"What does a rising total sales number indicate for a company?
",5
"How are income and net income calculated according to the book?
",2
"What is the purpose of IRS Publication 550 in relation to investment expenses?
",5
"What is the purpose of a reverse stock split?

",4
"How can long-term dividend growth indicate a stock's potential increase in price?
",2
"What is a megatrend and how does it affect stock prices?
",5
"What is the role of the Securities Investor Protection Corporation (SIPC)?
",5
"How much capital loss can be reported in a single year for tax deduction?
",3
"What is a conservative P/E ratio range for investing?
",3
"How does a company's use of debt to buy back stock affect its earnings?
",4
"What are consumer staples ETFs?
",3
"Who is the project manager that the author worked with for the sixth edition of the book?
",4
"How do interest rates affect stock prices?
",3
"What percentage of adjusted gross income must be exceeded before travel costs for checking investments can be deducted as miscellaneous expenses?
",3
"What is the formula for calculating the quick ratio?
",3
"What is inflation risk according to the context?
",5
"How is return on equity (ROE) calculated?
",5
"What are some stock investing websites recommended by 333MarketWatch?
",2
"What is one source for accessing annual reports online?
",3
"How can buying a call option be a profitable strategy during a bear market?
",2
"What are the two ways that profit from stock investments can be taxed?
",4
"What is the purpose of using common size ratios in analyzing a company's financial data?
",5
"What are some examples of liabilities that can affect a company's financial health?
",5
"What is the general discussion of the price-to-earnings (P/E) ratio?
",5
"What is motif investing and how does it work?
",3
"What is the purpose of having cash in a stock brokerage account?
",4
"What is considered a bargain in stock value according to the context?
",3
"What is the URL of the Best of the Web (BOTW) blog directory page that lists many excellent investing blogs?
",4
"What potential issue could cause damage to stock investments?
",4
"What is the leading organization for fee-based financial planners?
",4
"What is the purpose of dividend reinvestment plans (DRPs)?
",3
"What is the tax rate for long-term capital gains if an investor is in the 28% tax bracket or higher?
",3
"What is the current status of the US federal government's national debt?
",3
"What is a common way to minimize investment risk?
",5
"What types of stocks can a mutual fund invest in, according to the context?
",4
"What ideology has caused the most economic crises in history?
",4
"What is the classic investing book that is relevant in today's volatile stock market?
",4
"What is the website of the American Institute for Economic Research (AIER), an organization that helps understand the relationship between economics and politics?
",4
"What does a low Price-to-Earnings (P/E) ratio generally indicate from a financial strength point of view?
",4
"What is one source for obtaining financial information about stocks?
",4
"What is the purpose of monitoring accounts receivable during economic downturns?
",5
"How can a company benefit from rising total sales?
",4
"How many years has Paul Mladjenovic been a Certified Financial Planner?
",4
"How much interest does NEI pay for borrowing $20 million to buy back shares?
",2
"How is the current ratio calculated to assess a company's liquidity?
",4
"When was the STOCK Act passed and what was its initial purpose?
",4
"What type of stocks perform well during an economic recession and a bearish stock market?
",4
"What kind of stocks perform well when the economy is growing?
",3
"How are dividends taxed as per the IRS?
",4
"What is the definition of bear markets according to the context?
",4
"What is one disadvantage of technical analysis?
",2
"What is the interest rate of I bonds tied to?
",5
"How many appendices are there in the given context?
",1
"How do good and bad stocks perform after a terrorist event?
",4
"How many screening tools are mentioned in the context?
",2
"What is one example of a megatrend that can indicate growth investing opportunities?
",4
"Who can I contact to find a financial planner specializing in investing?
",3
"What is a negative reason for a company to conduct a reverse stock split?
",3
"Why is it beneficial for companies to have a low political profile?
",5
"What is a self-directed IRA and how can stock investors benefit from it?
",1
"What is a safer time to use margin in stock trading?
",2
"What is the price-to-earnings (P/E) ratio used for in relation to potential stock investment?
",4
"What is the purpose of EDGAR, the system maintained by the Securities and Exchange Commission (SEC)?
",5
"What are the two types of IRAs?
",5
"What is one of the best general investing websites according to the text?
",3
"What does a bear market reveal about a company's debt management?
",2
"What is the ""uptick rule"" related to in the context of finance?
",5
"What is a stop-loss order in stock investing?
",3
"What is the website for Charles Schwab & Co.?
",3
"What is the short-swing profit rule in the context of short selling?
",5
"Who does the author of the For Dummies series express gratitude towards in the end?
",4
"How should taxes be considered in stock transactions?
",5
"What is a value-oriented approach in growth investing?
",5
"What is the website for ETF Database?
",5
"What is the difference between industries and sectors in stock investing?
",5
"What are the two reasons for corporate stock buybacks?
",3
"How is the sales-to-receivables ratio calculated?
",4
"What type of interest is deductible as an itemized expense for stock investors?
",5
"What kind of resources can help me get inside information on stocks and market action?
",2
"What are some examples of defensive industries?
",4
"What does it indicate when a company's ROE is significantly higher than its ROA?
",5
"How is working capital calculated?
",3
"What is a 'cup and handle' pattern in charting?
",5
"What is a safer way to speculate on a stock falling compared to shorting it?
",4
"What is the formula to calculate the current ratio?
",5
"What forms do most investors use to report their investment-related activities?
",2
"What is the role of the Office of the Comptroller of the Currency in relation to derivatives held by financial institutions?
",5
"How do you calculate the debt-to-net-equity ratio?
",5
"What happens if you withdraw money from an IRA too early?
",3
"What should an investor do with a stock during a bear market if they are not retiring for ten years or more?
",3
"What is a good price-to-earnings (P/E) ratio to consider when investing in stocks?
",3
"How much can an individual contribute to a 401(k) plan in 2020?
",4
"What potential risks could arise if US debt is re-patriated by unfriendly governments?
",2
"What advantage does a company with a low political profile have?
",4
"What type of companies are at greatest risk during a financial crisis?
",4
"How can the Price-to-Book Ratio (PBR) be misleading for certain companies?
",4
"What are the five chapters in the ""Part of Tens"" section of a book?
",4
"What happens to the proceeds from a put option in a stock correction?
",3
"What is the total derivatives exposure of the top 25 US banks?
",1
"What is the website for finding filed documents related to stocks?
",4
"What are dividends paid out from in companies?
",5
"What is the advantage of holding an optionable stock?
",5
"What is the type of bond that small investors can buy for as little as $25?
",3
"What is the LinkedIn profile URL for Paul MLadjenovic?
",3
"What is the effect of an ordinary stock split on the share price?
",4
"What is the meaning of DPPs in the context of investing?
",3
"What does it mean when the market is growing in the context of investing?
",3
"Why might a company decide to do a stock split?
",5
"What are three ways to complement stock investing according to the chapter?
",4
"What is the purpose of the section when markets are down?
",3
"How are debts calculated as a percentage of total assets?
",4
"How can a put option be used to generate income from a current stock position?
",4
"How is the price-to-book ratio (PBR) calculated?
",3
